date,tank,tag,treatment,ymd,variable,value
2024-04-11T14:40:00Z,TTB1,8994,eAE,4/11/2024,ta,2389.997156
2024-04-11T14:40:00Z,TTB1,8994,eAE,4/11/2024,spec_pHCorrected,8.098177325
2024-04-11T14:40:00Z,TTB1,8994,eAE,4/11/2024,ph_calc,8.147886327
2024-04-11T14:40:00Z,TTB1,8994,eAE,4/11/2024,CO2,8.21544813
2024-04-11T14:40:00Z,TTB1,8994,eAE,4/11/2024,pCO2,310.7581542
2024-04-11T14:40:00Z,TTB1,8994,eAE,4/11/2024,HCO3,1713.800822
2024-04-11T14:40:00Z,TTB1,8994,eAE,4/11/2024,CO3,279.2292096
2024-04-11T14:40:00Z,TTB1,8994,eAE,4/11/2024,OmegaAragonite,4.563475172
2024-04-11T14:42:00Z,TTB2,7637,control,4/11/2024,temp.ERL,27.9715
2024-04-11T14:42:00Z,TTB2,7637,control,4/11/2024,salinity,32.85260805
2024-04-11T14:42:00Z,TTB2,7637,control,4/11/2024,DIC,2018.500978
2024-04-11T14:42:00Z,TTB2,7637,control,4/11/2024,ta,2380.604858
2024-04-11T14:42:00Z,TTB2,7637,control,4/11/2024,spec_pHCorrected,8.095464504
2024-04-11T14:42:00Z,TTB2,7637,control,4/11/2024,ph_calc,8.115108555
2024-04-11T14:42:00Z,TTB2,7637,control,4/11/2024,CO2,9.086111661
2024-04-11T14:42:00Z,TTB2,7637,control,4/11/2024,pCO2,341.5671902
2024-04-11T14:42:00Z,TTB2,7637,control,4/11/2024,HCO3,1748.251093
2024-04-11T14:42:00Z,TTB2,7637,control,4/11/2024,CO3,261.1637739
2024-04-11T14:42:00Z,TTB2,7637,control,4/11/2024,OmegaAragonite,4.265656691
2024-04-11T14:45:00Z,TTD1,7636,control,4/11/2024,temp.ERL,28.2697
2024-04-11T14:45:00Z,TTD1,7636,control,4/11/2024,salinity,32.99564985
2024-04-11T14:45:00Z,TTD1,7636,control,4/11/2024,DIC,2016.763845
2024-04-11T14:45:00Z,TTD1,7636,control,4/11/2024,ta,2371.304826
2024-04-11T14:45:00Z,TTD1,7636,control,4/11/2024,spec_pHCorrected,8.056210366
2024-04-11T14:45:00Z,TTD1,7636,control,4/11/2024,ph_calc,8.098754612
2024-04-11T14:45:00Z,TTD1,7636,control,4/11/2024,CO2,9.390143376
2024-04-11T14:45:00Z,TTD1,7636,control,4/11/2024,pCO2,355.7731542
2024-04-11T14:45:00Z,TTD1,7636,control,4/11/2024,HCO3,1751.747782
2024-04-11T14:45:00Z,TTD1,7636,control,4/11/2024,CO3,255.6259202
2024-04-11T14:45:00Z,TTD1,7636,control,4/11/2024,OmegaAragonite,4.178529744
2024-04-11T14:47:00Z,TTD2,8998,eAE,4/11/2024,temp.ERL,27.881
2024-04-11T14:47:00Z,TTD2,8998,eAE,4/11/2024,salinity,32.90247705
2024-04-11T14:47:00Z,TTD2,8998,eAE,4/11/2024,DIC,2013.599601
2024-04-11T14:47:00Z,TTD2,8998,eAE,4/11/2024,ta,2389.38311
2024-04-11T14:47:00Z,TTD2,8998,eAE,4/11/2024,spec_pHCorrected,8.157426723
2024-04-11T14:47:00Z,TTD2,8998,eAE,4/11/2024,ph_calc,8.134802134
2024-04-11T14:47:00Z,TTD2,8998,eAE,4/11/2024,CO2,8.624931558
2024-04-11T14:47:00Z,TTD2,8998,eAE,4/11/2024,pCO2,323.610485
2024-04-11T14:47:00Z,TTD2,8998,eAE,4/11/2024,HCO3,1734.420856
2024-04-11T14:47:00Z,TTD2,8998,eAE,4/11/2024,CO3,270.5538135
2024-04-11T14:47:00Z,TTD2,8998,eAE,4/11/2024,OmegaAragonite,4.415467201
,,,,,,
,,,,,,
,,,,,,
,,,,,,
